label,threshold,mean_grad,high_grad_count,dispersion,low_value_ratio,extreme_std_score,contrast_entropy,band_only_accuracy
0,0.5,0.313,0.226,0.239,1.0,0.304,0.343,0.927
0,0.5,0.291,0.029,0.026,1.0,0.174,0.0,0.91
0,0.5,0.467,1.0,1.0,1.0,0.112,0.908,0.944
0,0.5,1.0,0.005,0.016,1.0,0.0,0.138,0.945
0,0.6,0.0,0.0,0.0,0.0,1.0,0.065,0.78
0,0.6,0.0,0.0,0.0,0.114,0.831,1.0,0.893
0,0.6,0.725,0.987,1.0,0.192,0.645,0.076,0.91
0,0.6,1.0,0.004,0.0,0.634,0.747,0.324,0.913
0,0.6,0.687,0.093,0.082,0.967,0.489,0.401,0.832
0,0.6,0.753,0.031,0.028,1.0,0.715,0.107,0.894
0,0.6,0.0,0.0,0.0,1.0,0.262,0.895,0.838
0,0.6,0.342,0.164,0.163,1.0,0.304,0.343,0.927
0,0.6,0.183,0.009,0.007,1.0,0.174,0.0,0.91
0,0.6,0.645,1.0,0.949,1.0,0.112,0.908,0.944
0,0.6,0.0,0.0,0.0,1.0,0.0,0.138,0.945
0,0.7,0.0,0.0,0.0,0.0,1.0,0.065,0.78
0,0.7,0.0,0.0,0.0,0.114,0.831,1.0,0.893
0,0.7,1.0,1.0,1.0,0.192,0.645,0.076,0.91
0,0.7,0.0,0.0,0.0,0.634,0.747,0.324,0.913
0,0.7,0.746,0.053,0.044,0.967,0.489,0.401,0.832
0,0.7,0.881,0.02,0.024,1.0,0.715,0.107,0.894
0,0.7,0.0,0.0,0.0,1.0,0.262,0.895,0.838
0,0.7,0.333,0.106,0.104,1.0,0.304,0.343,0.927
0,0.7,0.0,0.0,0.0,1.0,0.174,0.0,0.91
0,0.7,0.814,0.795,0.735,1.0,0.112,0.908,0.944
0,0.7,0.0,0.0,0.0,1.0,0.0,0.138,0.945
0,0.8,0.0,0.0,0.0,0.0,1.0,0.065,0.78
0,0.8,0.0,0.0,0.0,0.114,0.831,1.0,0.893
0,0.8,1.0,1.0,1.0,0.192,0.645,0.076,0.91
0,0.8,0.0,0.0,0.0,0.634,0.747,0.324,0.913
0,0.8,0.638,0.043,0.039,0.967,0.489,0.401,0.832
0,0.8,0.0,0.0,0.0,1.0,0.715,0.107,0.894
0,0.8,0.0,0.0,0.0,1.0,0.262,0.895,0.838
0,0.8,0.312,0.06,0.049,1.0,0.304,0.343,0.927
0,0.8,0.0,0.0,0.0,1.0,0.174,0.0,0.91
0,0.8,0.796,0.474,0.432,1.0,0.112,0.908,0.944
0,0.8,0.0,0.0,0.0,1.0,0.0,0.138,0.945
0,0.9,0.0,0.0,0.0,0.0,1.0,0.065,0.78
